question,answer,source_jurisdiction,source_citation,source_text
"In the case of Tudor Capital Australia Pty Limited v Christensen [2017] NSWCA 260, what was the medical condition that Tudor Capital claimed Mr Christensen was suffering from?","In the case of Tudor Capital Australia Pty Limited v Christensen [2017] NSWCA 260, Tudor Capital claimed that Mr Christensen was suffering from hypertrophic cardiomyopathy (HCM), a disease in which a portion of the heart muscle wall becomes thickened with fibrous (scar) tissue, a condition that is prone to lead to ventricular fibrillation and sudden death.",new_south_wales,Tudor Capital Australia Pty Limited v Christensen [2017] NSWCA 260,"The case ultimately put by Tudor Capital was that Mr Christensen was suffering from hypertrophic cardiomyopathy (HCM), a disease in which a portion of the heart muscle wall becomes thickened with fibrous (scar) tissue, a condition that is prone to lead to ventricular fibrillation and sudden death. Tudor Capital primarily relied on the expert evidence of Professor Anne Keogh and Dr Stephen Rainer to this effect. They, in turn, primarily based their opinions on autopsy slides of tissue samples taken from Mr Christensen’s heart on autopsy. The slides were not the subject of evidence until after most of the expert reports were prepared, and until after Associate Professor Richards gave oral evidence. However, prior to giving evidence, and before Professor Keogh and Dr Rainer were called, Associate Professor Richards had seen a report from Dr Rainer discussing the slides. Associate Professor Richards had advised Mrs Christensen’s solicitors he was not qualified to analyse the autopsy slides."
What are the actions that the Law Society must take after completing an investigation of a complaint against an Australian legal practitioner according to the decision in Wyvill v Law Society Northern Territory [2019] FCA 2050?,"According to the decision in Wyvill v Law Society Northern Territory [2019] FCA 2050, after completing an investigation of a complaint against an Australian legal practitioner, the Law Society must either start proceedings in the Disciplinary Tribunal under the relevant Chapter, dismiss the complaint under the same Chapter, or take action under section 499 of the Act. Unless section 499 applies, the Society must start proceedings in the Tribunal in relation to a complaint against an Australian legal practitioner if it is satisfied there is a reasonable likelihood the practitioner will be found by the Tribunal to have engaged in unsatisfactory professional conduct or professional misconduct. Section 499 of the Act provides for a mechanism by which the Law Society may reprimand or fine a legal practitioner where, upon completion of an investigation, the Law Society is satisfied there is a reasonable likelihood that the practitioner would be found guilty by the Disciplinary Tribunal of unsatisfactory professional conduct (but not professional misconduct), and is satisfied the practitioner is generally competent and diligent and that no other material complaints have been made against the practitioner.",commonwealth,Wyvill v Law Society Northern Territory [2019] FCA 2050,"66 Section 488 of the Act provides that, subject to the exceptions listed in subs (2), the Law Society must investigate each complaint under Pt 4.6 of Ch 4. 67 Section 496, in Pt 4.7, is titled “Decision after investigation”. It sets out the actions which must follow after the completion of an investigation of a complaint and provides: (1) After completing an investigation of a complaint against an Australian legal practitioner, the Law Society must: (a) start proceedings in the Disciplinary Tribunal under this Chapter; or (b) dismiss the complaint under this Chapter; or (c) take action under section 499. (2) Unless section 499 applies, the Society must start proceedings in the Tribunal in relation to a complaint against an Australian legal practitioner if satisfied there is a reasonable likelihood the practitioner will be found by the Tribunal to have engaged in unsatisfactory professional conduct or professional misconduct. (3) Nothing in this section affects section 479. 68 Section 499 of the Act provides for a mechanism by which the Law Society may reprimand or fine a legal practitioner where, upon completion of an investigation, the Law Society: (1) … (b) is satisfied there is a reasonable likelihood that the practitioner would be found guilty by the Disciplinary Tribunal of unsatisfactory professional conduct (but not professional misconduct); and (c) is satisfied the practitioner is generally competent and diligent and that no other material complaints have been made against the practitioner. 69 Section 502 of the Act gives the Law Society the power to immediately suspend a local practising certificate. It includes:"
"In the case of Higginson -v- Cargill Australia Limited [2001] NSWADT 152, what two elements must be established to succeed in a complaint of direct discrimination?","In the case of Higginson -v- Cargill Australia Limited [2001] NSWADT 152, to succeed in a complaint of direct discrimination, the complainant must first establish that the respondent subjected him to different treatment. Second, the complainant must prove that the respondent did so on the grounds of his disability.",new_south_wales,Higginson -v- Cargill Australia Limited [2001] NSWADT 152," 41 In Commissioner of Corrective Services -v- Aldridge [2000] NSWADTAP 5 an Appeal Panel of the Tribunal, after considering the leading authorities, posed a question to be asked in cases of direct discrimination: Did the respondent on the ground of the complainant’s disability treat the complainant less favourably than it treated or would have treated a person without that disability in the same circumstances or circumstances that were not materially different? This test involves two elements labelled by the Appeal Panel in Aldridge as “different treatment” and “causation”. 42 Therefore to succeed in his complaint of direct discrimination Mr Higginson must first establish that the respondent, in refusing to allow him to return to work, subjected him to different treatment; and second, that the respondent did so on the grounds of his disability. 43 It is not in issue that the respondent’s refusal to allow Mr Higginson to return to work throughout the relevant period constitutes different treatment than that meted out to Mr Higginson’s work colleagues. The respondent’s maintenance fitters who did not suffer from Mr Higginson’s particular disability (and there is no evidence of any who did) were not refused employment throughout the relevant period (August 1998-May 1999). What is in issue is whether this treatment also constitutes less favourable treatment. Can it be said that the necessary element of detriment, central to the concept of “less favourable treatment” has been made out? The task falls to the complainant to prove on balance that the evidence objectively assessed establishes that his treatment was less favourable. "
"In the case of Watton v MacTaggart [2020] NSWSC 1233, how did the court view Jannette's belief of being sexually abused by the deceased in relation to her financial needs?","In Watton v MacTaggart [2020] NSWSC 1233, the court found Jannette's belief that she was sexually abused by the deceased to be relevant to her financial needs. This belief was not seen as a recent invention and it explained her lack of contact with the deceased after her mother's death. The court noted that this belief may have caused Jannette a measure of psychological harm which has increased her financial needs in regards to her health. However, the court did not suggest that any order for further provision is, or should be seen as, reparation or compensation for any such conduct in the past. Rather, it is an order that follows the evaluative process set out in the Succession Act.",new_south_wales,Watton v MacTaggart [2020] NSWSC 1233,"240. I endorse his Honour’s approach in that regard (see also the similar approach taken by McLaughlin AsJ in Evans v Levy [2010] NSWSC 504 at [47]). In the present proceedings, Jannette’s belief that she was sexually abused by the deceased is relevant insofar that this is not a recent invention; and it certainly explains what might otherwise have been a discounting factor (namely, her lack of contact with the deceased after her mother’s death). It is telling, in my opinion, that the level of family contact by Jannette seems to have largely come to an end when her mother died, which would be consistent with her wishing before then to maintain a relationship with her mother even though that involved a level of contact with her father. It is also relevant insofar as it may have caused Jannette a measure of psychological harm which has increased her financial needs in regards to her health albeit that the evidence suggests it may be only one of a number of factors and it is not possible to make any finding as to the overall causal effect of any such conduct as may (or may not) have occurred or by reference to what I accept is Jannette’s genuine belief that such conduct occurred. In saying this, I certainly do not suggest that any order for further provision is, or should be seen as, reparation or compensation for any such conduct in the past. It is not. Rather, it is an order that follows the evaluative process set out in the Succession Act, having regard to the factors that I have discussed above."
Who were the applicants and respondents in the case of Mushroom Industry Employees (State) Award [2007] NSWIRComm 1075?,"In the case of Mushroom Industry Employees (State) Award [2007] NSWIRComm 1075, the applicant was the Australian Workers Union New South Wales. The respondents were Australian Business Industrial, Australian Federation of Employers & Industries, NSW Farmers (Industrial) Association, and Australian Industry Group New South Wales Branch.",new_south_wales,Mushroom Industry Employees (State) Award [2007] NSWIRComm 1075,Industrial Relations Commission of New South Wales CITATION: Mushroom Industry Employees (State) Award [2007] NSWIRComm 1075 APPLICANT Australian Workers Union New South Wales PARTIES: RESPONDENTS Australian Business Industrial Australian Federation of Employers & Industries NSW Farmers (Industrial) Association Australian Industry Group New South Wales Branch FILE NUMBER(S): 1874 of 2007 CORAM: Macdonald C CATCHWORDS: Application for variation of an award - s 17 - increases to wages and allowances - application granted - award varied HEARING DATES: 12/10/07 DATE OF JUDGMENT: 12 October 2007 APPLICANT Australian Workers Union New South Wales Mr G Beard LEGAL REPRESENTATIVES: RESPONDENTS Australian Federation of Employers & Industries - Mr S Marriott 
"Under the Taxation Administration Act 1953, when are deductions allowed for employees' transport expenses?","According to the Notice of Rulings 17 February 2021 issued by the Commissioner of Taxation under subsection 358-5(4) of Schedule 1 to the Taxation Administration Act 1953, an employee can deduct transport expenses under section 8-1 of the Income Tax Assessment Act 1997 when travelling between work locations, provided neither location is the employee's home. However, transport expenses for travel between home and a regular place of work do not have the required connection to employment income and are not deductible.",commonwealth,Notice of Rulings 17 February 2021 (Cth)," Notice of Rulings 17 February 2021 The Commissioner of Taxation, Chris Jordan, gives notice by notifiable instrument under subsection 358-5(4) of Schedule 1 to the Taxation Administration Act 1953 of the following public rulings, copies of which can be obtained from ato.gov.au/law NOTICE OF RULINGS Ruling number Subject Brief description TR 2021/1 Income tax: when are deductions allowed for employees’ transport expenses? This Ruling provides guidance on when an employee can deduct transport expenses under section 8-1 of the Income Tax Assessment Act 1997. It explains that generally, transport expenses for travel between home and a regular place of work do not have the required connection to employment income and are not deductible. In contrast, transport expenses incurred when travelling between work locations are generally deductible provided neither location is the employee’s home. This Ruling applies both before and after its date of issue. CR 2021/14 Metgasco Ltd – return of capital by way of in specie distribution This Ruling sets out the tax consequences of the return of capital paid on 29 December 2020 by Metgasco Ltd. This Ruling applies from 1 July 2020 to 30 June 2021. "
"In the case of Westpoint Finance Pty Ltd v Chocolate Factory Apartments Ltd [2002] NSWCA 287, what was the argument made by Mr Kalyk, the solicitor for the respondent plaintiff?","In the case of Westpoint Finance Pty Ltd v Chocolate Factory Apartments Ltd [2002] NSWCA 287, Mr Kalyk, the solicitor for the respondent plaintiff, argued that the mortgage was only ever a security, it was not a document pursuant to which any monies were lent and all that was meant by that minute was that the security provided by the mortgage would be lessened.",new_south_wales,Westpoint Finance Pty Ltd v Chocolate Factory Apartments Ltd [2002] NSWCA 287," 44 Mr Kalyk, solicitor who appeared for the respondent plaintiff in this Court, argued that the mortgage was only ever a security, it was not a document pursuant to which any monies were lent and all that was meant by that minute was that the security provided by the mortgage would be lessened. However, with respect, it is impossible to accept that submission, because if no monies were lent under a mortgage in this form, there is no security anyhow, and secondly, it is impossible on that basis to see why a cash payment of $1.216 million would be made to Finance as mortgagee. 45 Then as I have indicated earlier, by letter of 28 March 2002 Mr Carey sent to the plaintiff his calculations as to what was owing. Mr Church in the affidavit which I have just mentioned, raised very limited objections to those calculations. He accepted as a starting point that Constructions was owed $626,876.06, but asserted that $1,077,824.69 had to be deducted from that figure leaving a balance in favour of the plaintiff. "
"What is the compliance date for the Thrust Reverser System Control Wiring Separation requirement for all Boeing 767 series aircraft equipped with General Electric CF6-80C2 engines, as per the Australian secondary legislation AD/B767/62 Amdt 2?","The compliance date for the Thrust Reverser System Control Wiring Separation requirement for all Boeing 767 series aircraft equipped with General Electric CF6-80C2 engines, as per the Australian secondary legislation AD/B767/62 Amdt 2, is prior to 15 December 1992.",commonwealth,AD/B767/62 Amdt 2 - Thrust Reverser System Control Wiring Separation (Cth)," Thrust Reverser System Control Wiring Separation 11/92 Applicability: All Boeing 767 series aircraft equipped with General Electric CF6-80C2 engines. Requirement: Action in accordance with Boeing Alert Service Bulletin 767-78A0052 Revision 2. Procedures that were accomplished previously in accordance with Revision 1 of the Service Bulletin, and that have not changed in Revision 2 of the Service Bulletin, need not be repeated. Note: FAA AD 92-16-02 Amdt 39-8311 refers. Compliance: Prior to 15 December 1992. Background: The present CF6-80C2 engine thrust reverser wiring has the Pressure Regulating Shutoff Valve (PRSOV) and the Directional Pilot Valve (DPV) control wires in adjacent pins of several wire bundles disconnects. These wires should have a pin separation such that the DPV will not have power on adjacent pins. A bent pin in a wire bundle disconnect could contribute to an inadvertent deployment of the thrust reverser during an ‘auto-restow’ event. Amendment 1 was issued to align with FAA AD 92-06-13. This amendment is issued following the release of Revision 2 to the Requirement Document and the subsequent promulgation of a superseding FAA AD. The compliance date for Australian registered aircraft is extended by approximately two months. "
"Under the Higher Education Support Act 2003 - VET Provider Approval (No. 24 of 2009) - June 2009 (Cth), who approved the Australian English & Business College Pty Ltd as a VET provider and what was the outcome of the application?","Under the Higher Education Support Act 2003 - VET Provider Approval (No. 24 of 2009) - June 2009 (Cth), MARGARET MCKINNON, a delegate of the Minister for Education for the purposes of clauses 6 and 11 of Schedule 1A of the Higher Education Support Act 2003 (HESA), approved Australian English & Business College Pty Ltd as a VET provider. The application of Australian English & Business College Pty Ltd for approval as a VET provider has been decided as required by clause 11(1)(a) of Schedule 1A of HESA.",commonwealth,Higher Education Support Act 2003 - VET Provider Approval (No. 24 of 2009) - June 2009 (Cth),"SUBSTITUTION OF NEW NOTICE OF APPROVAL COMMONWEALTH OF AUSTRALIA Higher Education Support Act 2003 VET Provider Approval No 24 of 2009 Approval pursuant to clause 6 of Schedule 1A, revocation of original notice of approval pursuant to paragraph 11 (1)(b) of Schedule 1A of the Higher Education Support Act 2003 (HESA) and substitution of new notice of approval pursuant to paragraph 11 (1)(b) of Schedule 1A of HESA. I, NEIL MCAUSLAN, a delegate of the Minister for Education for the purposes of clauses 6 and 11 of Schedule 1A of the Higher Education Support Act 2003 (HESA): (a) note that: (i) MARGARET MCKINNON, a delegate of the Minister for Education for the purposes of clauses 6 and 11 of Schedule 1A of the Higher Education Support Act 2003 (HESA) has approved Australian English & Business College Pty Ltd as a VET provider; (ii) the application of Australian English & Business College Pty Ltd for approval as a VET provider has been decided as required by clause 11(1)(a) of Schedule 1A of HESA; and (iii) pursuant to clause 11(1)(b) of Schedule 1A of HESA, a written notice of my approval to the applicant (“Original Notice”) was registered on the Federal Register of Legislative Instruments on 12 June 2009 (Register Number F2009L02357); (b) hereby revoke the Original Notice; and"
What are the requirements for the display of the pregnancy warning mark on corrugated cardboard packaging according to the Food Standards (Application A1256 – Colour of pregnancy warning labels for corrugated cardboard packaging) Variation (Cth)?,"According to the Food Standards (Application A1256 – Colour of pregnancy warning labels for corrugated cardboard packaging) Variation (Cth), the pregnancy warning mark must be displayed on the package with a clear space that surrounds the outside of the border of the pregnancy warning mark and is at least 3mm in width. The border of the pregnancy warning mark must be in the colour black. The pregnancy warning mark must be displayed as a whole and without modification. The pregnancy warning mark is printed directly on to the outside liner of corrugated cardboard packaging using a post-print (flexographic) printing process, which involves flexible raised image printing plates.",commonwealth,Food Standards (Application A1256 – Colour of pregnancy warning labels for corrugated cardboard packaging) Variation (Cth)," (12) The border of the *pregnancy warning mark must be in the colour black. (13) The *pregnancy warning mark must be displayed on the package with a clear space that: (a) surrounds the outside of the border of the pregnancy warning mark; and (b) is at least 3mm in width. (14) The *pregnancy warning mark must be displayed as a whole and without modification. (15) In this section, a post-print (flexographic) printing process means the pregnancy warning mark is printed directly on to the outside liner of corrugated cardboard packaging using flexible raised image printing plates. "
"In the matter of MK Group Phoenix Pty Ltd [2014] NSWSC 1467, what was the final decision of MK Group regarding the purchase of the Atchison Street property?","In the matter of MK Group Phoenix Pty Ltd [2014] NSWSC 1467, it was stated that MK Group Pty Ltd decided not to pursue the purchase of the Atchison Street, Crows Nest property any longer.",new_south_wales,In the matter of MK Group Phoenix Pty Ltd [2014] NSWSC 1467,"15Mr Kohler refers to a further meeting with Mr Reynolds on 10 May 2014, dealing with a loan to be made by MK Group to Tripod (rather than the reverse) in which there was a further conversation as to the Atchison Street property, at which it appeared that Mr Reynolds was not aware of Mr Lazar's earlier claim to have purchased the property himself. Emails were subsequently exchanged between MK Group and Tripod concerning the Atchison Street property, in which Tripod seems to proceed on the basis that the proposal for MK Group to purchase the property was still open. 16On 19 May 2014, Mr Kohler sent an email to Mr Lazar and Mr Reynolds which read, relevantly, as follows: ""Crows Nest has been on the cards quite some time now and has had a lot go on in the time since [Mr Kohler's business partner]'s and I [sic]) introduced to it last year. Up until recently it has been the primary objective but [we] were then informed by you Ian [Lazar] that it (for a number of reasons) was no longer available to us and so have been exploring other opportunities. Last week we were told that it may still be an option and the course of the history we have had trying to win the site, we had some interest. Through further discussion and deliberation then came to the fact that after the site had been written off as unobtainable by you, we moved on to other things that we are now perusing [sic]. In conclusion, MK Group Pty Ltd are not perusing [sic] the purchase of Atchison Street, Crows Nest any longer."""
"In the case of Williams (formerly Turco) v Mortgage Ezy Australia Pty Ltd [2020] FCA 1567, what was the third ground of appeal and how was it interpreted by the court?","In the case of Williams (formerly Turco) v Mortgage Ezy Australia Pty Ltd [2020] FCA 1567, the third ground of appeal was that the primary judge erred in law or in fact in holding that if the Appellant does succeed in the proceedings in the Supreme Court of Western Australia, the Appellant's ability to pay her debts would not be materially different. This was in the context of proceedings to enforce a deed pursuant to which the relevant defendants agreed to satisfy the debt the subject of the creditors petition. However, the court found that this ground was based on a mischaracterisation of what the primary judge held in his judgment. The court stated that while the paragraph in question was unclear, when construed in context, the ground did not accurately state the effect of what the primary judge said.",commonwealth,Williams (formerly Turco) v Mortgage Ezy Australia Pty Ltd [2020] FCA 1567,"Ground 3 - the effect of success in the SC Action 44 Ground 3 is: His Honour erred in law or in fact in holding that if the Appellant does succeed in the proceedings in the Supreme Court of Western Australia the Appellant's ability to pay her debts would not be materially different (at [12]), in circumstances where the proceedings were to enforce a deed pursuant to which the relevant defendants agreed to satisfy the debt the subject of the creditors petition. 45 In my view this ground is based on a mischaracterisation of what the primary judge held in his judgment at [12]. It is a characterisation that is open, because the paragraph is unclear, but construed in context I do not think that the ground accurately states the effect of what the primary judge said."
"In the case of Dubow v Fitness First Australia Pty Ltd; Fitness First Australia Pty Ltd v Dubow [2012] NSWSC 128, what was the response to the proposed amendments to the Deed?","In the case of Dubow v Fitness First Australia Pty Ltd; Fitness First Australia Pty Ltd v Dubow [2012] NSWSC 128, the response to the proposed amendments to the Deed was positive. Mr Orlizki, representing Fitness First Australia Pty Ltd, stated in an email that he had obtained instructions on the proposed amendments and was instructed to agree to them. He then attached the amended Deed and various forms of consent orders to the email.",new_south_wales,Dubow v Fitness First Australia Pty Ltd; Fitness First Australia Pty Ltd v Dubow [2012] NSWSC 128,"If Ms Dubow seeks to amend the Deed, I will of course do what I can to obtain instructions. However, any proposed amendment will be treated as a rejection of the offer put by my client and a counter offer put by your client. It is possible that I might be able to obtain instructions in relation to the counter offer, but I can offer no guarantee and you should assume that the appeal will proceed on Monday until you hear otherwise. I should make my client's position clear. Under no circumstances will my client consent to an adjournment on Monday. Either there is a Deed signed by your client and Consent Orders are filed in accordance with the Deed, or the appeal proceeds. I will be at my desk until about 5:00pm. Thereafter I will be contactable by email."" 94Notwithstanding the terms of that email, it appears from a further email sent by Mr Orlizki to Mr Brabazon SC at 3.37pm, that Mr Brabazon SC had proposed some amendments to the Deed, to which FFA agreed. In that email, Mr Orlizki said: ""I have obtained instructions on your proposed amendments to the Deed. As I surmised, I am instructed to agree to them. Accordingly, I attach the amended Deed. I also attach the forms of order to be filed in the various courts and tribunals."" 95Attached to that email were as promised by Mr Orlizki, an amended Deed and various copies of consent orders. There was no form of Consent Order included with that email which dealt specifically with the Hulme J proceedings. 96At 6.20pm on 5 November 2010, Mr Brabazon SC sent an email to Mr Orlizki. It said:"
"In the case of Health Care Complaints Commission v FWX [2023] NSWCATOD 100, what was the practitioner's explanation for the presence of amphetamine in his urine?","In the case of Health Care Complaints Commission v FWX [2023] NSWCATOD 100, the practitioner explained that the presence of amphetamine in his urine was due to him unknowingly consuming a glass of juice which contained his young son’s Vyvanse, an amphetamine-based drug prescribed for the child's ADHD.",new_south_wales,Health Care Complaints Commission v FWX [2023] NSWCATOD 100,"Particular 1 “The practitioner contravened condition 12 of his registration on the following dates: a. [withdrawn] b. Urinary drug testing on 13 January 2020 indicated that the practitioner had self-administered an amphetamine. c. Urinary drug testing on 18 May 2022 indicated that the practitioner had self-administered an opioid.” 57. Condition 12 is as follows: “12. Not to self-administer any: a. prescribed restricted substance (Schedule 4 Appendix D drug) or drug of addiction (Schedule 8 drug); or b. narcotic derivative, non-prescription compound analgesic or cold medication unless such medications are prescribed by his treating practitioner and taken as directed by the treating practitioner. Within seven days of being prescribed such treatment from his treating practitioner, the practitioner must: i) notify the Medical Council of NSW and Council appointed practitioners; ii) provide written confirmation of the treatment from the treating practitioner to the Council.” 58. There was no dispute as to the results of the urine drug screens on which these particulars are based and the practitioner admitted that the production of the positive result was sufficient to constitute a breach of the condition. However, the practitioner contended that in neither case did he knowingly self-administer either an amphetamine or an opioid. 59. Dealing first with the presence of amphetamine in his urine on 13 January 2020, the practitioner said that the day before the test, he drank a glass of juice which, unknown to him, contained his young son’s Vyvanse, an amphetamine based drug used to treat the child’s ADHD. There is no doubt that the drug was prescribed for the child."
"In the case of R v NR [2011] NSWSC 280, how did the availability of educational facilities in juvenile detention versus adult correctional centres impact the determination of NR's sentence?","In the case of R v NR [2011] NSWSC 280, the court found that the educational facilities currently available to NR in juvenile detention, which provide an important component to his future prospects of rehabilitation, are unlikely to be as readily available to him in an adult correctional centre. This factor was relevant to the determination of the appropriate sentence for NR as it impacts upon his prospects of successful rehabilitation. It was principally relevant to the question of whether NR should serve that sentence as a juvenile offender or in an adult correctional facility.",new_south_wales,R v NR [2011] NSWSC 280,"100I therefore find that the educational facilities currently available to NR in juvenile detention, which provide an important component to his future prospects of rehabilitation, are unlikely to be as readily available to him in an adult correctional centre. This factor is relevant to the determination of the appropriate sentence for NR in that it impacts upon his prospects of successful rehabilitation. But it is principally relevant to the question of whether NR should serve that sentence as a juvenile offender or in an adult correctional facility, an issue which I will come to in due course."
"What is the meaning of ""substantial and operative reason"" in the context of a worker's dismissal, as considered by the Court of Appeal in Bindaree Beef Pty Ltd v Riley [2013] NSWCA 305?","In the case of Bindaree Beef Pty Ltd v Riley [2013] NSWCA 305, the Court of Appeal, with Chief Justice Bathurst and her Honour Justice Beazley, considered the meaning of ""substantial and operative reason"". They held that the question of whether the injury was a substantial and operative cause of the worker's dismissal is a question of fact to be decided by reference to all the circumstances, including the employer's evidence as to such cause. The term ""operative"" is not superfluous in the section, and there could be more than one cause for the dismissal. The presumption will be rebutted if it is shown that the injury is not a substantial cause and one that is operative on the decision-maker at the relevant time.",new_south_wales,Kinninmont v Ku-ring-gai Council [2020] NSWIRComm 1064,"Substantial and operative provision 123. The Commission is not undertaking a broad-ranging assessment of the respondent’s actions and processes in these proceedings. The Commission’s consideration must focus on the “substantial and operative reason”, the meaning of which was considered by the Court of Appeal in Bindaree Beef Pty Ltd v Riley [2013] NSWCA 305 (“Bindaree”) by Chief Justice Bathurst with whom the President of the Court of Appeal, her Honour Justice Beazley, agreed, held at [53]: The question of whether the injury was a substantial and operative cause of the worker's dismissal is a question of fact to be decided by reference to all the circumstances including the employer's evidence as to such cause. 124. The Chief Justice continued in Bindaree at [58]-[61]: 58. I also do not agree with the Full Bench that the word operative is superfluous in the section. Section 244(2) recognises that there could be more than one cause for the dismissal. The presumption will be rebutted if it is shown that the injury is not a substantial cause and one that is operative on the decision-maker at the relevant time. In General Motors Holden Pty Ltd v Bowling (1976) 12 ALR 605, the respondent was alleged to have been dismissed by reason of him being a delegate of an industrial organisation. Such a dismissal was an offence under s 5(1) of the Conciliation and Arbitration Act 1904 (Cth). Section 5(4) of that Act provided as follows: ""In any proceeding for an offence against this section, if all the facts and circumstances constituting the offence, other than the reason for the defendant's action, are proved it shall lie upon the defendant to prove that he was not actuated by the reason alleged in the charge."""
"Under the Pesticides Regulation 2017 (2017-448) (NSW), what are the conditions for a person to be qualified to hold a ground applicator licence?","Under the Pesticides Regulation 2017 (2017-448) (NSW), a person is qualified to hold a ground applicator licence if the person’s competency to do the work authorised by the licence is of a standard equal to or better than the competency standard published for the purposes of this subclause by the Environment Protection Authority by order published in the Gazette.",new_south_wales,Pesticides Regulation 2017 (2017-448) (NSW)," (8) Ground applicator work A person is qualified to hold a ground applicator licence if the person’s competency to do the work authorised by the licence is of a standard equal to or better than the competency standard (if any) published for the purposes of this subclause by the Environment Protection Authority by order published in the Gazette. (9) Additional or alternative qualifications The Environment Protection Authority may, by notice published in the Gazette (a qualification determination notice), determine that— (a) a qualification specified in the notice is an alternative qualification for a kind of licence to a qualification specified by, or previously determined in accordance with, this clause for the licence, or (b) a qualification specified in the notice is a qualification required for a kind of licence in addition to a qualification specified by, or previously determined in accordance with, this clause for the licence. (10) The Environment Protection Authority may revoke or amend a qualification determination notice by a further notice published in the Gazette. (11) The determination of a qualification specified by a qualification determination notice takes effect on the day on which the notice is published or on such later day as may be specified in the notice. (12) If an alternative qualification for a kind of licence is specified by a qualification determination notice, a person who has that qualification is taken to hold an appropriate qualification for the licence concerned. (13) If an additional qualification for a kind of licence is specified by a qualification determination notice, a person must hold both the qualification specified by (or previously determined in accordance with) this clause for the licence and the additional qualification in order to be appropriately qualified to hold the licence."
"In the case of Clurname Pty Limited v McGraw-Hill Financial, Inc [2017] FCA 1319, how did the court determine the location where a statement was made, when it was initiated in one place and received in another?","In the case of Clurname Pty Limited v McGraw-Hill Financial, Inc [2017] FCA 1319, the court determined the location where a statement was made by considering the events and asking where, in substance, the act took place. If a statement is directed from one place to another where it is known or even anticipated that it will be received by the plaintiff, the statement was, in substance, made at the place to which it was directed. This is true even if the statement is directed to a place from where it ought reasonably to be expected that it will be brought to the attention of the plaintiff, even if it is brought to attention in some third place. The court rejected the argument that the act took place in New York because that was the place where Standard & Poor’s determined its ratings methodologies, criteria and model assumptions. The court found that the relevant tortious conduct was Standard & Poor’s making the S&P Ratings Representations and the S&P Independence Representations in circumstances where it knew and authorised the communication of those representations to investors in Australia, or where it knew or could reasonably expect that the representations would be received and relied on by investors in Australia.",commonwealth,"Clurname Pty Limited v McGraw-Hill Financial, Inc [2017] FCA 1319"," If a statement is directed from one place to another place where it is known or even anticipated that it will be received by the plaintiff, there is no difficulty in saying that the statement was, in substance, made at the place to which it was directed, whether or not it is there acted upon. And the same would seem to be true if the statement is directed to a place from where it ought reasonably to be expected that it will be brought to the attention of the plaintiff, even if it is brought to attention in some third place. But in every case the place to be assigned to a statement initiated in one place and received in another is a matter to be determined by reference to the events and by asking, as laid down in Distillers, where, in substance, the act took place. 66 Standard and Poor’s submitted that when one looked at the events and asked where in substance the act took place, the answer would be New York because that was the place where Standard & Poor’s determined its ratings methodologies, criteria and model assumptions. That submission is rejected. That is because the relevant tortious conduct was Standard & Poor’s making the S&P Ratings Representations and the S&P Independence Representations in circumstances where it knew and authorised the communication of those representations to investors in Australia, or where it knew or could reasonably expect that the representations would be received and relied on by investors in Australia."
"In the case of Micombero v Minister for Immigration & Multicultural Affairs [2000] FCA 1353, what was the Tribunal's finding regarding the applicant's fear of persecution?","In the case of Micombero v Minister for Immigration & Multicultural Affairs [2000] FCA 1353, the Tribunal found that there was no evidence before it which would have entitled it to find that the applicant had a well-founded fear of persecution for a Convention reason. Therefore, it did not misapply the law to the facts as found by it.",commonwealth,Micombero v Minister for Immigration & Multicultural Affairs [2000] FCA 1353," 15 The Tribunal also found that the Kenyan Government was prepared to issue the applicant with travel documents to return to Kenya under the name of Hussen, and that was a further fact it was required to take into account and to apply the law in relation to. The Tribunal, given its findings, did not have before it evidence which would have entitled it to find that the applicant had a well‑founded fear of persecution for a Convention reason, and accordingly it did not misapply the law to the facts as found by it. 16 It follows that the applicant cannot make out either of the grounds of review relied on and that the application must be dismissed. I certify that the preceding sixteen (16) numbered paragraphs are a true copy of the Reasons for Judgment herein of the Honourable Justice R D Nicholson J."
